payment_id,order_id,payment_date,payment_amount,payment_method
1,603,2022-02-05 00:00:00,124,Credit Card
2,635,2022-02-05 01:00:00,410,Bank Transfer
3,590,2022-02-05 02:00:00,253,PayPal
4,525,2022-02-05 03:00:00,98,Bank Transfer
5,859,2022-02-05 04:00:00,128,Credit Card
6,236,2022-02-05 05:00:00,490,PayPal
7,180,2022-02-05 06:00:00,290,Bank Transfer
8,702,2022-02-05 07:00:00,398,Bank Transfer
9,197,2022-02-05 08:00:00,203,Bank Transfer
10,212,2022-02-05 09:00:00,323,PayPal
11,513,2022-02-05 10:00:00,145,PayPal
12,539,2022-02-05 11:00:00,263,Credit Card
13,811,2022-02-05 12:00:00,343,PayPal
14,169,2022-02-05 13:00:00,258,PayPal
15,323,2022-02-05 14:00:00,392,Bank Transfer
16,6,2022-02-05 15:00:00,137,PayPal
17,879,2022-02-05 16:00:00,355,Bank Transfer
18,843,2022-02-05 17:00:00,313,Bank Transfer
19,541,2022-02-05 18:00:00,474,PayPal
20,853,2022-02-05 19:00:00,439,Credit Card
21,549,2022-02-05 20:00:00,374,Credit Card
22,703,2022-02-05 21:00:00,477,PayPal
23,531,2022-02-05 22:00:00,426,Credit Card
24,33,2022-02-05 23:00:00,369,Bank Transfer
25,716,2022-02-06 00:00:00,206,Bank Transfer
26,421,2022-02-06 01:00:00,205,PayPal
27,184,2022-02-06 02:00:00,188,Credit Card
28,121,2022-02-06 03:00:00,170,Credit Card
29,397,2022-02-06 04:00:00,114,Bank Transfer
30,915,2022-02-06 05:00:00,156,PayPal
31,330,2022-02-06 06:00:00,196,Credit Card
32,553,2022-02-06 07:00:00,186,PayPal
33,956,2022-02-06 08:00:00,460,Credit Card
34,998,2022-02-06 09:00:00,211,Bank Transfer
35,993,2022-02-06 10:00:00,477,Bank Transfer
36,335,2022-02-06 11:00:00,149,PayPal
37,606,2022-02-06 12:00:00,387,Bank Transfer
38,558,2022-02-06 13:00:00,448,Credit Card
39,726,2022-02-06 14:00:00,356,Bank Transfer
40,918,2022-02-06 15:00:00,190,PayPal
41,767,2022-02-06 16:00:00,132,PayPal
42,939,2022-02-06 17:00:00,226,PayPal
43,839,2022-02-06 18:00:00,247,Credit Card
44,658,2022-02-06 19:00:00,161,Credit Card
45,27,2022-02-06 20:00:00,105,Credit Card
46,827,2022-02-06 21:00:00,228,Credit Card
47,374,2022-02-06 22:00:00,470,Credit Card
48,365,2022-02-06 23:00:00,450,Bank Transfer
49,557,2022-02-07 00:00:00,235,Credit Card
50,326,2022-02-07 01:00:00,267,Credit Card
